DEPTH,GR,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RHOB,TNPH,Vsh,Sw,Por,LogRt,LogPhiT,LogSwT
3033.0648,41.9161,39.5602,36.197,39.7112,45.2479,45.2757,48.0081,2.1935,0.0956,0.0214,0.2114,0.2138,3.871369747,-0.669992299,-0.674895017
3033.2172,42.5308,167.3932,130.8593,162.8271,173.8007,177.5422,171.9275,2.2276,0.094,0.026,0.1061,0.2036,5.147072876,-0.691222226,-0.974284616
3033.3696,42.285,343.5556,364.1299,484.4932,540.0347,559.8265,790.1608,2.2298,0.0912,0.0242,0.0632,0.2049,6.672236469,-0.688458042,-1.199282922
3033.522,44.8668,257.9121,283.6592,361.3389,395.2029,410.4073,560.6882,2.2189,0.0893,0.0431,0.0936,0.2091,6.329164958,-0.679645967,-1.028724151
3033.6744,44.498,195.6444,204.6456,226.4121,237.428,246.2608,296.1752,2.2097,0.0908,0.0404,0.0931,0.2161,5.690951171,-0.665345233,-1.031050319
3033.8268,45.3582,257.4547,281.3905,343.5413,360.5631,373.3074,488.2235,2.2062,0.0939,0.0468,0.0823,0.2195,6.190773293,-0.658565475,-1.084600165
3033.9792,47.3253,185.6069,145.6065,172.8888,178.1974,182.6517,202.9563,2.215,0.0987,0.0612,0.1351,0.2138,5.312990685,-0.669992299,-0.869344651
3034,88.8132,,,,,,,2.4409,0.2698,0.3663,0.87,0.1206,1.805744554,-2.115275995,-0.139262067
3034.1,88.7617,,,,,,,2.4167,0.2322,0.3659,0.7911,0.1352,1.814987595,-2.001000115,-0.234330897
3034.1316,46.7106,130.3188,95.8786,111.9672,116.233,119.4772,122.1975,2.238,0.0948,0.0567,0.1588,0.198,4.805638588,-0.70333481,-0.799149502
3034.2,89.3579,,,,,,,2.406,0.2022,0.3703,0.738,0.1416,1.88591747,-1.954749098,-0.303811454
3034.284,47.0792,91.6434,74.3695,78.8906,86.7768,90.4771,85.6423,2.2666,0.091,0.0594,0.2252,0.1839,4.45017932,-0.735418271,-0.647431614
3034.3,90.1049,,,,,,,2.3973,0.1788,0.3758,0.6845,0.1468,1.987408486,-1.918684163,-0.379066634
3034.4,90.0732,,,,,,,2.3663,0.1723,0.3755,0.5843,0.1656,2.124725567,-1.798180037,-0.537340729
3034.4364,44.7433,70.8372,56.5803,56.7808,64.6078,68.5339,62.5092,2.2723,0.09,0.0422,0.2108,0.1846,4.135313746,-0.733768303,-0.676129393
3034.5,87.7109,,,,,,,2.324,0.1675,0.3582,0.5156,0.1914,2.148267733,-1.6533898,-0.662424008
3034.5888,45.358,223.5167,185.7647,204.5749,218.2581,257.3493,276.8306,2.2423,0.0891,0.0467,0.0863,0.1986,5.623405767,-0.702020756,-1.063989204
3034.6,83.7489,,,,,,,2.2918,0.1647,0.329,0.4795,0.2038,2.195890354,-1.590616158,-0.735011385
3034.7,77.6797,,,,,,,2.3909,0.17,0.2844,0.4944,0.1494,2.715138354,-1.901128006,-0.704410373
3034.7412,44.2521,269.1393,259.9336,269.6022,292.4437,372.1824,458.0383,2.1977,0.0808,0.0386,0.0816,0.2137,6.126952805,-0.670195478,-1.088309841
3034.8,72.5097,,,,,,,2.5015,0.1796,0.2464,0.7233,0.0859,2.886280065,-2.45457145,-0.323931205
3034.8936,44.498,297.0266,279.3552,326.7062,338.779,454.3306,589.9376,2.1631,0.0748,0.0404,0.0634,0.2275,6.380016769,-0.643018599,-1.197910742
3035.046,43.0226,298.2729,304.6001,340.5814,361.3258,501.0288,647.3126,2.156,0.078,0.0296,0.0733,0.2345,6.472829331,-0.629857153,-1.134896025
3035.1984,42.654,259.9018,200.527,240.748,251.2513,349.3543,466.9978,2.1558,0.081,0.0269,0.0712,0.233,6.146324547,-0.632644079,-1.147520006
3035.3508,44.6211,334.9597,332.0552,398.9023,438.8976,609.7509,861.3566,2.1477,0.0819,0.0413,0.0546,0.2375,6.758508588,-0.624336386,-1.262807357
3035.4,76.3991,,,,,,,2.4627,0.1519,0.275,0.9075,0.1089,1.940452426,-2.217325249,-0.097061713
3035.5,75.1234,,,,,,,2.3507,0.1608,0.2656,0.6619,0.1769,1.767859459,-1.732170678,-0.412640792
3035.5032,44.6211,338.1159,310.946,371.6855,422.0052,595.4376,879.2509,2.1397,0.0823,0.0413,0.0571,0.2344,6.779070295,-0.630042393,-1.243363892
3035.6,73.6752,,,,,,,2.3019,0.1683,0.255,0.596,0.2067,1.718220566,-1.576486812,-0.517514612
3035.6556,41.4262,344.497,328.7969,361.6218,422.2131,597.7432,877.8527,2.1337,0.0838,0.0178,0.0562,0.2379,6.777478812,-0.623605558,-1.250263684
3035.7,71.3119,,,,,,,2.252,0.1697,0.2376,0.5255,0.2343,1.767961873,-1.451152933,-0.643405089
3035.8,67.8099,,,,,,,2.1983,0.1637,0.2118,0.4609,0.2524,1.919932783,-1.376740148,-0.774574179
3035.808,39.9508,356.1856,326.9781,362.1514,424.082,606.0194,895.9219,2.1334,0.0871,0.007,0.0565,0.2348,6.797853244,-0.629301907,-1.247951552
3035.9,62.5547,,,,,,,2.1717,0.1599,0.1732,0.429,0.2606,2.027529635,-1.344768614,-0.84629836
3035.9604,39.3361,363.1728,337.2321,371.3922,423.253,612.7368,874.4682,2.1275,0.0877,0.0025,0.0575,0.2397,6.77361593,-0.620331966,-1.240332155
3036,56.8929,,,,,,,2.1503,0.1518,0.1316,0.3863,0.2637,2.248382307,-1.332943186,-0.951141009
3036.1,50.8436,,,,,,,2.1331,0.1372,0.0871,0.3368,0.2632,2.569201841,-1.33484108,-1.088265997
3036.1128,41.548,353.3757,314.0016,350.3077,399.6251,563.7134,767.0204,2.1145,0.0885,0.0187,0.0586,0.2452,6.642513398,-0.610479534,-1.232102384
3036.2,50.3663,,,,,,,2.1455,0.1337,0.0836,0.3499,0.2591,2.516251881,-1.350541191,-1.05010788
3036.2652,42.2856,352.5467,324.426,354.4039,425.0464,566.5955,774.852,2.1081,0.0862,0.0242,0.0566,0.244,6.652672043,-0.612610174,-1.247183569
3036.3,52.9818,,,,,,,2.167,0.1343,0.1028,0.3902,0.255,2.300011785,-1.366491734,-0.941095851
3036.4,59.8591,,,,,,,2.1972,0.1394,0.1534,0.503,0.2583,1.702472778,-1.353633579,-0.687165109
